Technology,Model,Type,Manufacturer,Origin,Year of first appearance,Sensor Type,Sensor Technology,Channels,Positioning,Wireless Connectivity,Sampling Rate,ADC resolution,Raw data access,Bundled Software,Data Synchronization,Auxiliary capabilities,Price (USD),Studies Found,Inclusion (%)
EEG,Epoc X,Headset,Emotiv,USA,2020,Wet (saline),Saline soaked felt pads,14,"AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4",BLE 4.0,128 | 256 Hz,14-bit,Requires PRO license for use,Included,SDK,"IMU, Detects mental commands, performance states and facial expressions",">1,000",722,"19,30%"
EEG,"Ganglion | Cyton | Daisy
Ultracortex | Cap | cEEGrid",Headset | Cap | Around-Ear,OpenBCI,USA,2016,"Hybrid (dry | gel) Semi-Dry (saline)
Wet (gel)",Ag/AgCl | Gold Cup | Gold-plated C-shaped flex-print,4 | 8 | 16,10-20 System,BLE 4.0,125 | 250 Hz,24-bit,Available,Open-source,LSL,"3x ExG, Analog In ExG, Digital I/O Trigger In/Out, Accelerometer",">3,000",180,"4,81%"
EEG,MindWave Mobile 2,Headset,NeuroSky,USA,2018,Dry,Stainless steel,1,Fp1,"Bluetooth SPP
BLE/GATT",512 Hz,12-bit,Available,Free apps,"TGC, SDK, TCP",---,>130,152,"4,06%"
EEG,Enobio,Cap,NE Neuroelectrics,ESP,2008,"Dry
Wet (gel)","Drytrodes: Ag/AgCl coating
Geltrodes: Sintered Ag/AgCl ",8 | 20 | 32,Flexible 10-20 System,Wi-Fi,500 Hz,24-bit,Available,Free,"LSL, TCP, SDK","Accelerometer, ERP, Hyperscanning, TTL triggers",---,108,"2,89%"
EEG,NeuSen W,Cap,Neuracle,CHN,2021,Dry,---,8 | 16 | 32 | 64,10-20 System,Wi-Fi 2.4 | 5 GHz,16 kHz,24-bit,Available,Included,"LSL, API","IMU, 5 x ExG, Event marker integration",---,72,"1,92%"
EEG,B-Alert,Headset,"Advanced Brain
Monitoring",USA,2011,Dry,Ag/AgCl,9 | 20,Flexible 10-20 System,Bluetooth 5.0,256 Hz,16-bit,Available,Included,SDK,"Accelerometer, ExG, Heart Rate/HRV",---,66,"1,76%"
EEG,SmartBCI,Cap,Mitsar,RUS,2014,"Dry
Wet (gel)","Active dry soft touch, 
Ag/AgCl  wet ",24 | 32 | 64,10-10 System,Bluetooth 5.0,250 | 500 Hz,24-bit,Available,Included,LSL,"Accelerometer, ExG, Trigger In (Analog), Sync video",---,65,"1,74%"
EEG,"g.Nautilus
PRO Flexible | Multi-Purpose | Research",Cap,g.tec,AUT,2014,"Hybrid (dry | gel)
Dry | Wet (gel)",Active,8 | 16 | 19 | 32,10-20 System,RF 2.4 GHz,500 Hz ,24-bit,Available,Sold separately,API,"IMU, 8x Digital trigger In, ExG (optional)",">6,500",64,"1,71%"
EEG,Insight,Headset,Emotiv,USA,2015,Semi-Dry,Polymer,5,"AF3, AF4, T7, T8, Pz",Bluetooth,128 Hz,16-bit,Requires PRO license for use,Included,SDK,"IMU, Detects mental commands, performance states and facial expressions",>500,63,"1,68%"
fNIRS,NIRSport2,Cap,NIRx,DEU,2018,Optodes,Dual-wavelength emitters,8 to 80,10-20 System,Wi-Fi,240 Hz,24-bit,Partial access,Included,LSL,"IMU, EEG, tDCS/TES, Eye-tracking, 8-bit TTL In, Hyperscanning",---,61,"1,63%"
EEG,"Flex 2 
Saline | Gel",Cap,Emotiv,USA,2023,"Wet (saline)
Wet (gel)",Sintered Ag/AgCl,32,10-20 System,Bluetooth 5.2,256 Hz,16-bit,Requires PRO license for use,Included,LSL,"IMU, ExG",">2,000",54,"1,44%"
EEG,LiveAmp,Cap,Brain Products,DEU,2015,"Dry
Semi-Dry (saline)
Wet (gel)","Flat Ag/AgCl, passive sponge-based or active dry",8 | 16 | 32 | 64,"actiCAP, BrainCap, LiveCap, R-Net",Bluetooth,500 Hz | 1 kHz,24-bit,Available,Included,SDK,"LiveAmp Mobility Set, Accelerometer, TTL (LVTTL) In,
Compliances: FCC (USA), IC (Canada), MIC (Japan)",---,53,"1,42%"
EEG,Eego Sports,Cap,ANT Neuro,DEU,2017,"Dry
Wet (gel | saline)",Active,8 | 32 | 64 | 128,10-20 System,Wi-Fi,2 kHz,24-bit,Available,Sold separately,"SDK, LSL","IMU, 2x ExG, 4x Aux (GSR, RESP, TEMP, Accel), 8-bit TTL Trigger",---,49,"1,31%"
fNIRS, NirSmart | NirSmart II,Cap,Danyang Huichuang,CHN,2024,Optodes,Light source LED/laser ≥50 mW,63 | 130,Occipital and temporal lobes | Full head coverage,Wi-Fi,---,---,Available,Included,---,"Supports connections with EEG, tDCS, TMS, fMRI and VR",---,49,"1,31%"
EEG,Muse 2,Headband,InteraXon,CAN,2018,Dry,Gold-plated,4,"TP9, AF7, AF8, TP10, FPz",BLE 4.2,256 Hz,12-bit,Available,Free,"LSL, OSC","IMU, HR (PPG), 2x Amplified aux channels",>250,43,"1,15%"
fNIRS,"Nirsit
Lite | Lite Kids",Headset,Obelab,KOR,2019,Optodes,Dual-wavelength emitters,15 | 48,Prefrontal/motor cortex,"WLAN 2.4 GHz
BLE 5.0",8 Hz,---,Available,App included,---,"IMU, Photogrammetry (for sensors localization)",---,30,"0,80%"
EEG,"Quick
20m | 20r v2 | 32r",Headset,CGX Cognionics,USA,2015,Dry,"Active, polymer, built-in LED impedance indicators ",20 | 21 | 32,10-10 System,BLE,500 Hz,24-bit,Available,Included,API,"Accelerometer, 2x ExG, GSR, SpO₂, Resp, Temp, Wireless trigger, Hyperscanning",---,21,"0,56%"
